id,xpath,class,canonical,current Activity,next Activity,type,additional info
,/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout/androidx.recyclerview.widget.RecyclerView/androidx.appcompat.widget.LinearLayoutCompat[3],androidx.appcompat.widget.LinearLayoutCompat,home_signin,com.zappos.android.activities.HomeActivity,com.zappos.android.activities.AUIAccountAuthActivity,transition,Same as account; actual sign in button broken?
,"//android.widget.EditText[@content-desc=""Email""]",android.widget.EditText,signin_username_or_email,com.zappos.android.activities.AUIAccountAuthActivity,,input,Can be transition
,"//android.webkit.WebView[@content-desc=""6pm Sign-In""]/android.view.View[2]/android.view.View[5]/android.widget.EditText",android.widget.EditText,signin_password,com.zappos.android.activities.AUIAccountAuthActivity,,input,Can be transition
,"//android.widget.Button[@content-desc="" Sign-In ""]",android.widget.Button,sign_in,com.zappos.android.activities.AUIAccountAuthActivity,com.zappos.android.activities.MyAccountActivity,assertion,Can be transition
,"//android.view.View[@content-desc=""Forgot password?""]",android.view.View,signin_forget_pwd,com.zappos.android.activities.AUIAccountAuthActivity,,assertion,
,"//android.widget.Button[@content-desc=""Create a new 6pm account""]",android.widget.Button,signin_tosignup,com.zappos.android.activities.AUIAccountAuthActivity,com.zappos.android.activities.AUIAccountAuthActivity,transition,"""Register"" button; same activity!"
,"//android.widget.EditText[@content-desc=""Your email address""]",android.widget.EditText,signup_email,com.zappos.android.activities.AUIAccountAuthActivity,,input,
,"//android.widget.EditText[@content-desc=""Name""]",android.widget.EditText,signup_username,com.zappos.android.activities.AUIAccountAuthActivity,,input,
,"//android.webkit.WebView[@content-desc=""6pm Registration""]/android.view.View[3]/android.view.View[5]/android.widget.EditText",android.widget.EditText,signup_password,com.zappos.android.activities.AUIAccountAuthActivity,,input,
,"//android.widget.Button[@content-desc="" Create your 6pm account ""]",android.widget.Button,sign_up,com.zappos.android.activities.AUIAccountAuthActivity,,assertion,
,"//android.widget.ImageButton[@content-desc=""Open navigation drawer""]",android.widget.ImageButton,menu,com.zappos.android.activities.HomeActivity,,assertion,Can be transition
