id@com.etsy.android:id/search_src_text,com.ebay.mobile:id/textview_item_title,android.widget.TextView,"[556,1343][1244,1535]",1.0
id@com.etsy.android:id/edit_password_confirm,com.ebay.mobile:id/et_temp,android.widget.EditText,"[56,562][1384,711]",0.9
xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[2]/android.widget.ImageView,com.ebay.mobile:id/menu_search,android.widget.TextView,"[1104,185][1272,353]",0.9
id@com.etsy.android:id/btn_sign_in_dialog,com.ebay.mobile:id/button_sign_in,android.widget.Button,"[56,1119][1384,1287]",2.01
id@com.etsy.android:id/edit_username,com.ebay.mobile:id/edit_text_username,android.widget.EditText,"[56,664][1384,813]",3.01
id@com.etsy.android:id/button_cart,com.ebay.mobile:id/action_view_icon,android.widget.ImageView,"[1174,227][1258,311]",1.0
id@com.etsy.android:id/edit_password,com.ebay.mobile:id/edit_text_username,android.widget.EditText,"[56,664][1384,813]",0.9
id@com.etsy.android:id/menu_search,com.ebay.mobile:id/menu_search,android.widget.TextView,"[964,185][1132,353]",1.0
id@com.etsy.android:id/edit_register_password,com.ebay.mobile:id/et_temp,android.widget.EditText,"[56,562][1384,711]",0.9
id@com.etsy.android:id/edit_email,com.ebay.mobile:id/button_classic,android.widget.Button,"[56,1980][1384,2148]",2.0
id@com.etsy.android:id/edit_first_name,com.ebay.mobile:id/et_first_name,android.widget.EditText,"[56,916][1384,1065]",2.01
xpath@/hierarchy/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v7.widget.RecyclerView/android.widget.LinearLayout[1]/android.widget.TextView,com.ebay.mobile:id/textview_category,android.widget.TextView,"[734,917][1374,1113]",1.0
id@com.etsy.android:id/btn_link,com.ebay.mobile:id/home_banner_call_to_action,android.widget.Button,"[28,1135][588,1303]",1.0
id@com.etsy.android:id/filters_text_view,com.ebay.mobile:id/button_filter,android.widget.Button,"[1176,367][1440,563]",1.01
id@com.etsy.android:id/search_filters_sort_by_text,com.ebay.mobile:id/menu_search,android.widget.TextView,"[936,185][1104,353]",0.9
id@com.etsy.android:id/edit_last_name,com.ebay.mobile:id/et_last_name,android.widget.EditText,"[56,1196][1384,1345]",2.01
id@com.etsy.android:id/cart_icon,com.ebay.mobile:id/action_view_icon,android.widget.ImageView,"[1174,227][1258,311]",2.0
id@com.etsy.android:id/btn_register_dialog,com.ebay.mobile:id/button_register,android.widget.Button,"[56,1763][1384,1931]",0.9
id@com.etsy.android:id/button_signin,com.ebay.mobile:id/button_sign_in,android.widget.Button,"[56,1119][1384,1287]",2.01
