id@com.contextlogic.wish:id/product_details_fragment_add_to_cart_button,com.alibaba.aliexpresshd:id/bt_buynow_1,android.widget.Button,"[825,2613][1440,2621]",0.99
id@com.contextlogic.wish:id/create_account_fragment_create_account_button,com.alibaba.aliexpresshd:id/tv_register_btn_label,android.widget.TextView,"[363,965][1077,1041]",1.98
"xpath@//android.widget.TextView[@content-desc=""Search""]",com.alibaba.aliexpresshd:id/menu_search,android.widget.TextView,"[936,185][1104,353]",1.0
id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button,com.alibaba.aliexpresshd:id/tv_signin_btn_label,android.widget.TextView,"[621,945][819,1021]",2.0
id@com.contextlogic.wish:id/create_account_fragment_last_name_text,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",1.125
"xpath@//android.widget.TextView[@content-desc=""Filter""]",,android.widget.TextView,"[1258,424][1384,481]",1.0
id@com.contextlogic.wish:id/sign_in_fragment_create_account_button,com.alibaba.aliexpresshd:id/tv_forgot_password_label,android.widget.TextView,"[970,1109][1384,1255]",1.25
"xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]",,android.widget.ImageButton,"[0,171][196,367]",2.0
id@com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button,com.alibaba.aliexpresshd:id/btn_address_add,android.widget.Button,"[56,2213][1384,2392]",1.0
id@com.contextlogic.wish:id/create_account_fragment_password_text,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",0.75
