id@com.ebay.mobile:id/button_sign_in,com.alibaba.aliexpresshd:id/tv_signin_btn_label,android.widget.TextView,"[621,945][819,1021]",2.0
id@com.ebay.mobile:id/button_register,com.alibaba.aliexpresshd:id/tv_forgot_password_label,android.widget.TextView,"[970,1109][1384,1255]",1.25
id@com.ebay.mobile:id/button_sort,com.alibaba.aliexpresshd:id/menu_search,android.widget.TextView,"[936,185][1104,353]",0.875
id@com.ebay.mobile:id/et_email,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",0.6666666666666666
id@com.ebay.mobile:id/bt_continue,com.alibaba.aliexpresshd:id/tv_register_btn_label,android.widget.TextView,"[363,965][1077,1041]",0.99
id@com.ebay.mobile:id/search_box,com.alibaba.aliexpresshd:id/search_hint,android.widget.TextView,"[210,206][433,332]",0.7368421052631579
"xpath@//android.widget.TextView[@content-desc=""Categories button""]",com.alibaba.aliexpresshd:id/search_hint,android.widget.TextView,"[210,206][433,332]",0.625
id@com.ebay.mobile:id/button_classic,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",1.4666666666666668
id@com.ebay.mobile:id/et_temp,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",0.75
id@com.ebay.mobile:id/et_first_name,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",0.625
id@com.ebay.mobile:id/bt_create_your_account,com.alibaba.aliexpresshd:id/tv_register_btn_label,android.widget.TextView,"[363,965][1077,1041]",1.98
id@com.ebay.mobile:id/home,com.alibaba.aliexpresshd:id/view_product_title,android.widget.TextView,"[0,1706][1440,2031]",1.1166666666666665
id@com.ebay.mobile:id/et_last_name,com.alibaba.aliexpresshd:id/tv_register_agreement,android.widget.TextView,"[56,1129][1384,1309]",1.125
