id@com.contextlogic.wish:id/product_details_fragment_add_to_cart_button,com.contextlogic.wish:id/product_details_fragment_add_to_cart_button,android.widget.TextView,"[915,2617][1405,2621]",1.0
id@com.contextlogic.wish:id/create_account_fragment_create_account_button,com.contextlogic.wish:id/create_account_fragment_create_account_button,android.widget.Button,"[56,1466][1384,1606]",3.0
"xpath@//android.widget.TextView[@content-desc=""Search""]",,android.widget.TextView,"[1244,185][1440,353]",1.0
id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button,com.contextlogic.wish:id/sign_in_fragment_sign_in_button,android.widget.TextView,"[56,1425][1384,1565]",2.0
id@com.contextlogic.wish:id/create_account_fragment_last_name_text,com.contextlogic.wish:id/login_fragment_terms_policy_full_ver,android.widget.TextView,"[56,2100][1384,2210]",1.3
xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.LinearLayout/android.widget.Button,,android.widget.Button,"[192,1602][1248,1770]",1.0
"xpath@//android.widget.TextView[@content-desc=""Filter""]",,android.widget.TextView,"[1048,185][1244,353]",1.0
id@com.contextlogic.wish:id/sign_in_fragment_create_account_button,com.contextlogic.wish:id/sign_in_fragment_create_account_button,android.widget.TextView,"[56,1863][1384,2003]",4.0
"xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]",,android.widget.ImageButton,"[0,171][196,367]",2.0
id@com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button,com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button,android.widget.TextView,"[56,2596][1384,2621]",1.0
id@com.contextlogic.wish:id/create_account_fragment_password_text,com.contextlogic.wish:id/login_fragment_terms_policy_full_ver,android.widget.TextView,"[56,2100][1384,2210]",0.75
