method,json,correct,incorrect,missed,nonExist,notFound,# correct,# incorrect,# missed,# nonExist,# notFound
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",[],[],[],[],3,0,0,0,0
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']",[],[],[],[],5,0,0,0,0
<Wish.RepresentativeTests: void testAbout()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click"", ""case"": ""notFound""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]']",[],[],[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout'],4,0,0,0,1
<Wish.RepresentativeTests: void testAccount()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/menu_profile_background"", ""action"": ""click"", ""case"": ""missed""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]']",[],['id@com.contextlogic.wish:id/menu_profile_background'],[],[],4,0,1,0,0
<Wish.RepresentativeTests: void testAddress()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/address_book_footer_text"", ""action"": ""click"", ""case"": ""notFound""}, {""input"": ""941 Bloom Walk"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/shipping_address_form_street_address_text"", ""action"": ""sendKeys"", ""case"": ""notFound""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button"", ""action"": ""click"", ""case"": ""notFound""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]']",[],[],[],"['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[1]/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.support.v4.view.ViewPager/android.widget.FrameLayout/android.view.ViewGroup/android.widget.ScrollView/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout[3]/android.widget.FrameLayout/android.widget.RelativeLayout/android.widget.LinearLayout', 'id@com.contextlogic.wish:id/address_book_footer_text', 'id@com.contextlogic.wish:id/shipping_address_form_street_address_text', 'id@com.contextlogic.wish:id/cart_fragment_cart_shipping_floating_done_button']",4,0,0,0,4
<Wish.RepresentativeTests: void testCategory()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.TextView[2]"", ""action"": ""click"", ""case"": ""notFound""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",[],[],[],['xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout/android.widget.FrameLayout[2]/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.HorizontalScrollView/android.widget.LinearLayout/android.widget.TextView[2]'],3,0,0,0,1
<Wish.RepresentativeTests: void testContact()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[12]"", ""action"": ""click"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[12]']",[],[],[],[],5,0,0,0,0
<Wish.RepresentativeTests: void testHelp()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[13]"", ""action"": ""click"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]', 'xpath@/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.support.v4.widget.DrawerLayout/android.widget.FrameLayout[2]/android.widget.ListView/android.widget.LinearLayout[13]']",[],[],[],[],5,0,0,0,0
<Wish.RepresentativeTests: void testMenu()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.ImageButton[@content-desc=\""Open Menu\""]"", ""action"": ""click"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.ImageButton[@content-desc=""Open Menu""]']",[],[],[],[],4,0,0,0,0
<Wish.RepresentativeTests: void testSearch()>,"[{""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": ""***REMOVED***"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""xpath@//android.widget.TextView[@content-desc=\""Search\""]"", ""action"": ""click"", ""case"": ""correct""}, {""input"": ""aan"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/search_src_text"", ""action"": ""sendKeys"", ""case"": ""correct""}]","['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'xpath@//android.widget.TextView[@content-desc=""Search""]', 'id@com.contextlogic.wish:id/search_src_text']",[],[],[],[],5,0,0,0,0
