method,event_array,source,target,gui_mapper,correct,incorrect,missed,nonExist,num_correct,num_incorrect,num_missed,num_nonExist,accuracy_precision,accuracy_recall,accuracy
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.3734139179440077, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.5736315175939828, ""case"": ""incorrect""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342, ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.5580396636914546, ""case"": ""correct""}]",etsy,geek,craftdroid,"['id@com.contextlogic.geek:id/login_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']",['id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button'],[],[],4,1,0,0,0.8,1.0,0.8
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.3734139179440077, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.4581120542068887, ""case"": ""incorrect""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0, ""case"": ""missed""}, {""input"": ""bbb"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0, ""case"": ""missed""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395, ""case"": ""incorrect""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342, ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.4238536991113928, ""case"": ""incorrect""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.4180262621274768, ""case"": ""incorrect""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.480090608525804, ""case"": ""incorrect""}]",etsy,geek,craftdroid,"['id@com.contextlogic.geek:id/login_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text']","['id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button', 'id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']","['NONE', 'NONE']",[],2,5,2,0,0.2857142857142857,0.5,0.2222222222222222
<Etsy.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.26903293401200384, ""case"": ""incorrect""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.586188064589956, ""case"": ""incorrect""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342, ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.568950332928395, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.6230396636914546, ""case"": ""correct""}]",etsy,wish,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']","['id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",[],[],3,2,0,0,0.6,1.0,0.6
<Etsy.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.26903293401200384, ""case"": ""incorrect""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/multi_button_dialog_fragment_description"", ""action"": ""click"", ""score"": 0.32229371595295203, ""case"": ""incorrect""}, {""input"": ""aaa"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0, ""case"": ""missed""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/forgot_password_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.2006227105947979, ""case"": ""incorrect""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.4473722217030706, ""case"": ""incorrect""}, {""input"": ""yixueresearch"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.5297808518221342, ""case"": ""correct""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.26135089629665736, ""case"": ""incorrect""}, {""input"": ""thisresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.25387982324035496, ""case"": ""incorrect""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/forgot_password_fragment_reset_password_button"", ""action"": ""click"", ""score"": 0.233858575839834, ""case"": ""incorrect""}]",etsy,wish,craftdroid,['id@com.contextlogic.wish:id/sign_in_fragment_email_text'],"['id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button', 'id@com.contextlogic.wish:id/multi_button_dialog_fragment_description', 'id@com.contextlogic.wish:id/forgot_password_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/forgot_password_fragment_reset_password_button']",['NONE'],[],1,7,1,0,0.125,0.5,0.1111111111111111
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.61, ""case"": ""correct""}]",wish,geek,craftdroid,"['id@com.contextlogic.geek:id/sign_in_fragment_email_text', 'id@com.contextlogic.geek:id/sign_in_fragment_password_text', 'id@com.contextlogic.geek:id/sign_in_fragment_sign_in_button']",[],[],[],3,0,0,0,1.0,1.0,1.0
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/login_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.4384966065328936, ""case"": ""correct""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys"", ""score"": 0.675, ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.48, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.geek:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.61, ""case"": ""correct""}]",wish,geek,craftdroid,"['id@com.contextlogic.geek:id/login_fragment_create_account_button', 'id@com.contextlogic.geek:id/create_account_fragment_first_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_last_name_text', 'id@com.contextlogic.geek:id/create_account_fragment_email_text', 'id@com.contextlogic.geek:id/create_account_fragment_password_text', 'id@com.contextlogic.geek:id/create_account_fragment_create_account_button']",[],[],[],6,0,0,0,1.0,1.0,1.0
<Wish.RepresentativeTests: void testSignIn()>,"[{""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.etsy.android:id/search_src_text"", ""action"": ""sendKeys"", ""score"": 0.14115636005492482, ""case"": ""incorrect""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""NONE"", ""action"": ""sendKeys"", ""score"": 0.0, ""case"": ""missed""}, {""input"": null, ""id_or_xpath"": ""NONE"", ""action"": ""click"", ""score"": 0.0, ""case"": ""missed""}]",wish,etsy,craftdroid,[],['id@com.etsy.android:id/search_src_text'],"['NONE', 'NONE']",[],0,1,2,0,0.0,0.0,0.0
<Wish.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/btn_link"", ""action"": ""click"", ""score"": 0.3240466770055533, ""case"": ""incorrect""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_first_name"", ""action"": ""sendKeys"", ""score"": 0.4376135341200091, ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_last_name"", ""action"": ""sendKeys"", ""score"": 0.5026135341200091, ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_email"", ""action"": ""sendKeys"", ""score"": 0.3685386966413887, ""case"": ""correct""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.etsy.android:id/edit_password_confirm"", ""action"": ""sendKeys"", ""score"": 0.27453328233393426, ""case"": ""incorrect""}, {""input"": null, ""id_or_xpath"": ""id@com.etsy.android:id/button_register"", ""action"": ""click"", ""score"": 0.31668789359833194, ""case"": ""correct""}]",wish,etsy,craftdroid,"['id@com.etsy.android:id/edit_first_name', 'id@com.etsy.android:id/edit_last_name', 'id@com.etsy.android:id/edit_email', 'id@com.etsy.android:id/button_register']","['id@com.etsy.android:id/btn_link', 'id@com.etsy.android:id/edit_password_confirm']",[],[],4,2,0,0,0.6666666666666666,1.0,0.6666666666666666
<Geek.RepresentativeTests: void testSignIn()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.467985465053856, ""case"": ""incorrect""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button"", ""action"": ""click"", ""score"": 0.61, ""case"": ""correct""}]",geek,wish,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_email_text', 'id@com.contextlogic.wish:id/sign_in_fragment_password_text', 'id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button']",['id@com.contextlogic.wish:id/sign_in_fragment_sign_in_button'],[],[],3,1,0,0,0.75,1.0,0.75
<Geek.RepresentativeTests: void testSignUp()>,"[{""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/sign_in_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.4384966065328936, ""case"": ""correct""}, {""input"": ""aaa"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_first_name_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""bbb"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_last_name_text"", ""action"": ""sendKeys"", ""score"": 0.675, ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.61, ""case"": ""correct""}, {""input"": ""yixueresearch@gmail.com"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_email_text"", ""action"": ""sendKeys"", ""score"": 0.4935283914529055, ""case"": ""incorrect""}, {""input"": ""yourresearchiscool"", ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_password_text"", ""action"": ""sendKeys"", ""score"": 0.48, ""case"": ""correct""}, {""input"": null, ""id_or_xpath"": ""id@com.contextlogic.wish:id/create_account_fragment_create_account_button"", ""action"": ""click"", ""score"": 0.61, ""case"": ""correct""}]",geek,wish,craftdroid,"['id@com.contextlogic.wish:id/sign_in_fragment_create_account_button', 'id@com.contextlogic.wish:id/create_account_fragment_first_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_last_name_text', 'id@com.contextlogic.wish:id/create_account_fragment_email_text', 'id@com.contextlogic.wish:id/create_account_fragment_password_text', 'id@com.contextlogic.wish:id/create_account_fragment_create_account_button']",['id@com.contextlogic.wish:id/create_account_fragment_email_text'],[],[],6,1,0,0,0.8571428571428571,1.0,0.8571428571428571
