source resource id,source xpath,info of source event,target resource id,target xpath,info of target event,score
Registration Test Case,,,,,
com.contextlogic.geek:id/login_fragment_create_account_button,,,com.etsy.android:id/btn_link,,,0.36496263200680035
com.contextlogic.geek:id/create_account_fragment_email_text,,,com.etsy.android:id/edit_email,,,0.4239303117628075
com.contextlogic.geek:id/create_account_fragment_confirm_email_text,,,com.etsy.android:id/edit_email,,,0.30745870321571295
com.contextlogic.geek:id/create_account_fragment_password_text,,,com.etsy.android:id/edit_password_confirm,,,0.27453328233393426
com.contextlogic.geek:id/create_account_fragment_last_name_text,,,com.etsy.android:id/edit_last_name,,,0.5026135341200091
com.contextlogic.geek:id/create_account_fragment_first_name_text,,,com.etsy.android:id/edit_first_name,,,0.4376135341200091
com.contextlogic.geek:id/create_account_fragment_create_account_button,,,com.etsy.android:id/switch_to_sign_in,,,0.3271606383968124
com.contextlogic.geek:id/signup_category_fragment_next_button,,next button after birthday,com.etsy.android:id/button_signin,,,0.3289446826240625
,"//android.widget.ImageButton[@content-desc=""Open Menu""]",open menu,None,,,0
com.contextlogic.geek:id/menu_profile_name,,,None,,,0
Login Test Case,,,,,
com.contextlogic.geek:id/login_fragment_sign_in_button,,,com.etsy.android:id/btn_sign_in_dialog,,,0.4409776856737626
com.contextlogic.geek:id/sign_in_fragment_password_text,,,com.etsy.android:id/edit_password,,,0.568950332928395
com.contextlogic.geek:id/sign_in_fragment_email_text,,,com.etsy.android:id/edit_email,,,0.568950332928395
com.contextlogic.geek:id/sign_in_fragment_sign_in_button,,,com.etsy.android:id/switch_to_sign_in,,,0.5646919747385328
com.contextlogic.geek:id/menu_profile_name,,,None,,,0
