source resource id,source xpath,info of source event,target resource id,target xpath,info of target event,score
Registration Test Case,,,,,
com.contextlogic.wish:id/sign_in_fragment_create_account_button,,,com.contextlogic.geek:id/login_fragment_create_account_button,,,0.4384966065328936
com.contextlogic.wish:id/create_account_fragment_email_text,,,com.contextlogic.geek:id/create_account_fragment_email_text,,,0.61
com.contextlogic.wish:id/create_account_fragment_password_text,,,com.contextlogic.geek:id/create_account_fragment_password_text,,,0.48
com.contextlogic.wish:id/create_account_fragment_last_name_text,,,com.contextlogic.geek:id/create_account_fragment_last_name_text,,,0.675
com.contextlogic.wish:id/create_account_fragment_first_name_text,,,com.contextlogic.geek:id/create_account_fragment_first_name_text,,,0.61
com.contextlogic.wish:id/create_account_fragment_create_account_button,,,com.contextlogic.geek:id/create_account_fragment_create_account_button,,,0.61
Login Test Case,,,,,
com.contextlogic.wish:id/sign_in_fragment_password_text,,,com.contextlogic.geek:id/sign_in_fragment_password_text,,,0.61
com.contextlogic.wish:id/sign_in_fragment_email_text,,,com.contextlogic.geek:id/sign_in_fragment_email_text,,,0.61
com.contextlogic.wish:id/sign_in_fragment_sign_in_button,,,com.contextlogic.geek:id/sign_in_fragment_sign_in_button,,,0.61
com.contextlogic.wish:id/menu_profile_name,,,com.contextlogic.geek:id/menu_profile_name,,,0.61
